UPOS	POS	LEMMA
ADJ	прым.	@Арендарский, арандарский	
ADJ	прым.	@Арендный	
ADJ	прым.	@Арендовный	
ADJ	прым.	@Ариянский, арианский, аррыанский	
ADJ	прым.	@Аркушовый	
ADJ	прым.	@Арматный, гарматный	
ADJ	прым.	@Арменейский	
ADJ	прым.	@Арменский, арминский	
ADJ	прым.	@Арридийский	
ADJ	прым.	@Архангеловъ	
ADJ	прым.	@Архангельский	
ADJ	прым.	@Архидьяконовъ	
ADJ	прым.	@Архиепископий	
ADJ	прым.	@Архиепископлий	
ADJ	прым.	@Архиепископский	
ADJ	прым.	@Архиереевъ	
ADJ	прым.	@Архиерейский	
ADJ	прым.	@Архимандритовъ	
ADJ	прым.	@Архимандритский, архимандрицкий	
ADJ	прым.	@Архимандричий	
ADJ	прым.	@Архипастырский	
ADJ	прым.	@Архистратиговъ	
ADJ	прым.	@Асекурацийный	
ADJ	прым.	@Асесоровъ	
ADJ	прым.	@Асесорский, асосорский, ассесорский, ассессорский	
ADJ	прым.	@Асийский	
ADJ	прым.	@Асирийский, асирейский, ассирийский	
ADJ	прым.	@Аскалонский	
ADJ	прым.	@Асорский	
ADJ	прым.	@Аспидный	I 
ADJ	прым.	@Аспидный	II 
ADJ	прым.	@Аспидовъ	
ADJ	прым.	@Астраханский	
ADJ	прым.	@Астролоичный	
ADJ	прым.	@Астрономский	
ADJ	прым.	@Асырский	
ADJ	прым.	@Атенский, аттенский	
ADJ	прым.	@Атестацейный, аттестацыйный	
ADJ	прым.	@Атласовый, отласовый	
ADJ	прым.	@Афинский	
ADJ	прым.	@Африканский	
ADJ	прым.	@Африцкий	
ADJ	прым.	@Бабизный	
ADJ	прым.	@Бабский	
ADJ	прым.	@Баварский, баворский	
ADJ	прым.	@Бавелный	
ADJ	прым.	@Баволняный, бавелняный, бавельняный, бавялняный	
ADJ	прым.	@Баволовъ	
ADJ	прым.	@Багнистый	
ADJ	прым.	@Багровый	
ADJ	прым.	@Багряный	
ADJ	прым.	@Базилийский	
ADJ	прым.	@Базылиянский	
ADJ	прым.	@Байволий	
ADJ	прым.	@Бакгазыевый	
ADJ	прым.	@Баламутный, баломутный	
ADJ	прым.	@Балванский, болванский	
ADJ	прым.	@Балвохвалный	
ADJ	прым.	@Балвохвалский, балвофалский, болвохвалский	
ADJ	прым.	@Балсамовый	
ADJ	прым.	@Балтийский, балтицкий, балтыйский, бальтыцкий	
ADJ	прым.	@Бальверский, балверский, барверский	
ADJ	прым.	@Баницийный, баницейный, баницыйный	
ADJ	прым.	@Бановый	
ADJ	прым.	@Бараний, баранний, бараный, баряный, бораний	
ADJ	прым.	@Баранковый	
ADJ	прым.	@Барановъ	
ADJ	прым.	@Барашковый	
ADJ	прым.	@Барверовъ	
ADJ	прым.	@Барвовый	
ADJ	прым.	@Барвяный	
ADJ	прым.	@Бардышовый	
ADJ	прым.	@Бармистый	
ADJ	прым.	@Барский	
ADJ	прым.	@Бартный	
ADJ	прым.	@Бархановый, бархоновый	
ADJ	прым.	@Барщовый, барщевый	
ADJ	прым.	@Басурманский, безсурмянский, бесорменьский, бесурманский, бесурменский, бесурмянский, босурманский	
ADJ	прым.	@Бачнейший	
ADJ	прым.	@Бачный	
ADJ	прым.	@Беглейший, беглийший, биглейший	
ADJ	прым.	@Беглый	
ADJ	прым.	@Беднарский	
ADJ	прым.	@Беднейший	
ADJ	прым.	@Бедный	
ADJ	прым.	@Безбогобоязный	
ADJ	прым.	@Безбожнейший	
ADJ	прым.	@Безбожный, бэзбожный	
ADJ	прым.	@Безбоязливый	
ADJ	прым.	@Безбрачный	
ADJ	прым.	@Безбронный	
ADJ	прым.	@Безбурный	
ADJ	прым.	@Безверный	
ADJ	прым.	@Безвестный	
ADJ	прым.	@Безвинный	
ADJ	прым.	@Безводный	
ADJ	прым.	@Безвоеводзкий	
ADJ	прым.	@Безврядный, безврадный	
ADJ	прым.	@Безглавный	
ADJ	прым.	@Безгласный	
ADJ	прым.	@Безгрешный	
ADJ	прым.	@Бездедичный	
ADJ	прым.	@Безделный	
ADJ	прым.	@Бездетный	
ADJ	прым.	@Бездный	
ADJ	прым.	@Бездомный	
ADJ	прым.	@Бездорожный	
ADJ	прым.	@Бездушный, бездушний	
ADJ	прым.	@Безецный, бэзэцный	
ADJ	прым.	@Безженный	
ADJ	прым.	@Беззаконный, безаконный, безаконый	
ADJ	прым.	@Безименный, безыменный	
ADJ	прым.	@Безклопотный, бесклопотный	
ADJ	прым.	@Безконечный	
ADJ	прым.	@Безкровный, бескровный	
ADJ	прым.	@Безлепичный	
ADJ	прым.	@Безлетний	
ADJ	прым.	@Безлобивый	
ADJ	прым.	@Безлюдный	
ADJ	прым.	@Безмерный	
ADJ	прым.	@Безместный	
ADJ	прым.	@Безмилостивный	
ADJ	прым.	@Безмолвеный	
ADJ	прым.	@Безмужная	
ADJ	прым.	@Безмытный	
ADJ	прым.	@Безначальный, безначалный	
ADJ	прым.	@Безносый	
ADJ	прым.	@Безовоцный	
ADJ	прым.	@Безодповедный	
ADJ	прым.	@Безоманный	
ADJ	прым.	@Безомешканый	
ADJ	прым.	@Безотволочный, безодволочный	
ADJ	прым.	@Безпечалный, беспечалный	
ADJ	прым.	@Безпечатный	
ADJ	прым.	@Безпечнейший, безспечнейший, беспечнейший	
ADJ	прым.	@Безпечный, беспечный, бэзпечный	
ADJ	прым.	@Безплатный	
ADJ	прым.	@Безплеменный	
ADJ	прым.	@Безплодный, бесплодный	
ADJ	прым.	@Безплотный, бесплотный	
ADJ	прым.	@Безпорочный	
ADJ	прым.	@Безпоставный	
ADJ	прым.	@Безпотомный	
ADJ	прым.	@Безпотребный	
ADJ	прым.	@Безправный	
ADJ	прым.	@Безпрестанный	
ADJ	прым.	@Безприкладный	
ADJ	прым.	@Безприсадный	
ADJ	прым.	@Безпутьный	
ADJ	прым.	@Безрогий, бежрогий	
ADJ	прым.	@Безрозсудный	
ADJ	прым.	@Безрозумнейший	
ADJ	прым.	@Безрозумный	
ADJ	прым.	@Безрукий	
ADJ	прым.	@Безсеменный	
ADJ	прым.	@Безскорбный, бескорбный	
ADJ	прым.	@Безславный	
ADJ	прым.	@Безсловесный	
ADJ	прым.	@Безсмертный, бесмертный	
ADJ	прым.	@Безсмысленный	
ADJ	прым.	@Безстрастный, бестрастный	
ADJ	прым.	@Безстудный, безстудый, бестудный	
ADJ	прым.	@Безстужий, бестужий	
ADJ	прым.	@Безстыдный	
ADJ	прым.	@Безтелесный	
ADJ	прым.	@Безтелный	
ADJ	прым.	@Безтравный	
ADJ	прым.	@Безумный, бэзумный	
ADJ	прым.	@Безухий	
ADJ	прым.	@Безхлебный	
ADJ	прым.	@Безценный	
ADJ	прым.	@Безчадный	
ADJ	прым.	@Безчасный	
ADJ	прым.	@Безчестный	
ADJ	прым.	@Безчинный	
ADJ	прым.	@Безчисленный, безчисленый, безчислный, безчисльный, безчысленный, безчысленый, бесчисленый, бесчислный	
ADJ	прым.	@Безшкодный	
ADJ	прым.	@Белейший	
ADJ	прым.	@Белий, беллий	
ADJ	прым.	@Белилный	I 
ADJ	прым.	@Белилный	II 
ADJ	прым.	@Белинный, беленный, белиний, белиный	
ADJ	прым.	@Белицкий	
ADJ	прым.	@Беличий, беличный, беличый	
ADJ	прым.	@Белматый	
ADJ	прым.	@Белмовый	
ADJ	прым.	@Белогловский, белокгловский, бялокгловский	
ADJ	прым.	@Белоголовский	
ADJ	прым.	@Белогрывый	
ADJ	прым.	@Белогубый	
ADJ	прым.	@Белое	
ADJ	прым.	@Белозорый	
ADJ	прым.	@Белокопытый	
ADJ	прым.	@Белоногий	
ADJ	прым.	@Белопафый	
ADJ	прым.	@Белоруский, бялоруский	
ADJ	прым.	@Белочий	
ADJ	прым.	@Белочный	
ADJ	прым.	@Белчаный	
ADJ	прым.	@Белший	
ADJ	прым.	@Белый	
ADJ	прым.	@Белюхный	
ADJ	прым.	@Бервенный	
ADJ	прым.	@Береговый	
ADJ	прым.	@Березовый, берозовый	
ADJ	прым.	@Беременная	
ADJ	прым.	@Бескверный	
ADJ	прым.	@Бесноватый	
ADJ	прым.	@Бесный	
ADJ	прым.	@Бесовский	
ADJ	прым.	@Бесовъ	
ADJ	прым.	@Бестиалский, бестиялский, бестыялский	
ADJ	прым.	@Бестийный	
ADJ	прым.	@Бестыйский	
ADJ	прым.	@Бешеный, бешаный, бешоный	
ADJ	прым.	@Бзовый	
ADJ	прым.	@Билчий	
ADJ	прым.	@Бирчий II	
ADJ	прым.	@Бискупий	
ADJ	прым.	@Бискупицкий	
ADJ	прым.	@Бискуплий	
ADJ	прым.	@Бискуповъ	
ADJ	прым.	@Бискупский	
ADJ	прым.	@Битный	
ADJ	прым.	@Благий, благый	
ADJ	прым.	@Благоверный	
ADJ	прым.	@Благовонный	
ADJ	прым.	@Благовременный	
ADJ	прым.	@Благовханный	
ADJ	прым.	@Благоговейный	
ADJ	прым.	@Благоданый	
ADJ	прым.	@Благодарный	
ADJ	прым.	@Благодарственный	
ADJ	прым.	@Благодатный	
ADJ	прым.	@Благодержавный	
ADJ	прым.	@Благодушный	
ADJ	прым.	@Благоискусный	
ADJ	прым.	@Благолепнейший	
ADJ	прым.	@Благолепный	
ADJ	прым.	@Благомощный	
ADJ	прым.	@Благоножный	
ADJ	прым.	@Благонравный	
ADJ	прым.	@Благообразный	
ADJ	прым.	@Благопобедный	
ADJ	прым.	@Благоподобный	
ADJ	прым.	@Благопотребный	
ADJ	прым.	@Благоприятный	
ADJ	прым.	@Благопутный	
ADJ	прым.	@Благоразумный	
ADJ	прым.	@Благородный	
ADJ	прым.	@Благосердный	
ADJ	прым.	@Благославный	
ADJ	прым.	@Благословенный, благославеный, благословеный, благословленный, благословленый, блогославенный, блогославеный, блогословенный, блокгославеный	
ADJ	прым.	@Благословенший, благословеншый, благословленший	
ADJ	прым.	@Благословный	
ADJ	прым.	@Благоугодный	
ADJ	прым.	@Благоуханный	
ADJ	прым.	@Благочастливый	
ADJ	прым.	@Благочествый	
ADJ	прым.	@Благочестивейший	
ADJ	прым.	@Благочестивый	
ADJ	прым.	@Блаженейший, блаженнейший	
ADJ	прым.	@Блаженный, блаженый	
ADJ	прым.	@Блазенский	
ADJ	прым.	@Блакитный, блакотный, бланкитный, блекитный, бленкитный, блокитный, блякнтный	
ADJ	прым.	@Бледейший	
ADJ	прым.	@Бледый, блядый	
ADJ	прым.	@Блекотливый	
ADJ	прым.	@Блещачий	
ADJ	прым.	@Блещащийся	
ADJ	прым.	@Блещеный	
ADJ	прым.	@Ближайший	
ADJ	прым.	@Ближний, ближный, близний, близный	
ADJ	прым.	@Ближшое	
ADJ	прым.	@Близкий, близский, блиский, блисский	
ADJ	прым.	@Близнчатая	
ADJ	прым.	@Близший, ближши, ближший, ближшый, блишшый, близшы, близшый	
ADJ	прым.	@Блищачийся, блыщачийся	
ADJ	прым.	@Блищачый	
ADJ	прым.	@Блищащий	
ADJ	прым.	@Блотливый	
ADJ	прым.	@Блудливый, блюдливый	
ADJ	прым.	@Блудный	
ADJ	прым.	@Блюзнерский, блюзнирский	
ADJ	прым.	@Блюзнивый	
ADJ	прым.	@Блядивый	
ADJ	прым.	@Блядливый	
ADJ	прым.	@Бляжковый	
ADJ	прым.	@Бляхованый	
ADJ	прым.	@Бляховый, блеховый, бляхавый	
ADJ	прым.	@Бляшаный	
ADJ	прым.	@Бляшистый	
ADJ	прым.	@Бобковый	
ADJ	прым.	@Бобровницкий	
ADJ	прым.	@Бобровничий, бобровничый	
ADJ	прым.	@Бобровое	
ADJ	прым.	@Бобровый	
ADJ	прым.	@Богатейший	
ADJ	прым.	@Богатодаровный	
ADJ	прым.	@Богатоумный	
ADJ	прым.	@Богатший
ADJ	прым.	@Богатый, багатый	
ADJ	прым.	@Богатырный	
ADJ	прым.	@Богатырский, багатырьский	
ADJ	прым.	@Богачовъ	
ADJ	прым.	@Богобойный, бокгобойный	
ADJ	прым.	@Богоборный	
ADJ	прым.	@Богобоязливый	
ADJ	прым.	@Богобоязнивый	
ADJ	прым.	@Богобоязный	
ADJ	прым.	@Боговозлюбленный	
ADJ	прым.	@Боговъ	
ADJ	прым.	@Богоданный	
ADJ	прым.	@Богодарованный	
ADJ	прым.	@Богодельный	
ADJ	прым.	@Богодухновенный	
ADJ	прым.	@Богоизбранный	
ADJ	прым.	@Боголепный	
ADJ	прым.	@Боголепый	
ADJ	прым.	@Боголюбезный, боголюбезний	
ADJ	прым.	@Боголюбивый	
ADJ	прым.	@Боголюбный	
ADJ	прым.	@Богомерзкий, богомерзский, богомерский	
ADJ	прым.	@Богомольный	
ADJ	прым.	@Богомысльный, богомислный	
ADJ	прым.	@Богонареченный	
ADJ	прым.	@Богоначальный	
ADJ	прым.	@Богоносный	
ADJ	прым.	@Богообнятый	
ADJ	прым.	@Богопарный	
ADJ	прым.	@Богоподанный	
ADJ	прым.	@Богоподобный	
ADJ	прым.	@Богопосвященный	
ADJ	прым.	@Богоприемный	
ADJ	прым.	@Богоприятный, богоприатный	
ADJ	прым.	@Богопротивный	
ADJ	прым.	@Богоразумный	
ADJ	прым.	@Богородичиный	
ADJ	прым.	@Богосаженый	
ADJ	прым.	@Богословский	
ADJ	прым.	@Богоспасаемый	
ADJ	прым.	@Боготочный	
ADJ	прым.	@Боготрезвенный	
ADJ	прым.	@Богоугодный, боговгодный	
ADJ	прым.	@Богоявленский	
ADJ	прым.	@Богоявленый	
ADJ	прым.	@Бодливый	
ADJ	прым.	@Боднарский	
ADJ	прым.	@Бодрый	
ADJ	прым.	@Боевный	
ADJ	прым.	@Боевый	
ADJ	прым.	@Божеский	
ADJ	прым.	@Божественный, божественый, божестенный	
ADJ	прым.	@Божий, божый	
ADJ	прым.	@Божогробский	
ADJ	прым.	@Божский, божьский, бозкий, бозский, бозьский, боский	
ADJ	прым.	@Божскопорушеный	
ADJ	прым.	@Бозкосточный	
ADJ	прым.	@Бойный	
ADJ	прым.	@Боковый	
ADJ	прым.	@Болвановъ	
ADJ	прым.	@Болгарский, болгарьский, больгарский	
ADJ	прым.	@Болезненый	
ADJ	прым.	@Болезнивый	
ADJ	прым.	@Болезный	
ADJ	прым.	@Болей II	
ADJ	прым.	@Болелый	
ADJ	прым.	@Болесный, болестный	
ADJ	прым.	@Болкотливый	
ADJ	прым.	@Бологий	
ADJ	прым.	@Болотинный	
ADJ	прым.	@Болотистый	
ADJ	прым.	@Болотливый	
ADJ	прым.	@Болотный	
ADJ	прым.	@Болтушницкий, болтушницский, бовтушницкий	
ADJ	прым.	@Болшей II	
ADJ	прым.	@Болший II	
ADJ	прым.	@Болший, больший I	
ADJ	прым.	@Больный, болный	
ADJ	прым.	@Болязнивый	
ADJ	прым.	@Болярьский	
ADJ	прым.	@Болящий	
ADJ	прым.	@Бондаревая	
ADJ	прым.	@Борздейший, борзейший	
ADJ	прым.	@Борздый, бордзый, борзый	
ADJ	прым.	@Бороватый	
ADJ	прым.	@Боровный	
ADJ	прым.	@Боровый	
ADJ	прым.	@Бородатый	
ADJ	прым.	@Борсуковый, барсуковый	
ADJ	прым.	@Бортницкий	
ADJ	прым.	@Бортный	
ADJ	прым.	@Борщовый	
ADJ	прым.	@Босый	
ADJ	прым.	@Бочечное	
ADJ	прым.	@Бочковый	
ADJ	прым.	@Бочный	
ADJ	прым.	@Боязливый	
ADJ	прым.	@Боязненный	
ADJ	прым.	@Боязнивый	
ADJ	прым.	@Боязный	
ADJ	прым.	@Боярский, боарский, боерский, боярьский	
ADJ	прым.	@Бражный	
ADJ	прым.	@Бракаровъ	
ADJ	прым.	@Брамный	
ADJ	прым.	@Бранный	
ADJ	прым.	@Братерский, братэрский	
ADJ	прым.	@Братний	
ADJ	прым.	@Братовая	
ADJ	прым.	@Братовъ	
ADJ	прым.	@Братолюбивый	
ADJ	прым.	@Братоненавистный	
ADJ	прым.	@Братский, братцкий, брацкий, брацский	
ADJ	прым.	@Брачный	
ADJ	прым.	@Брезинский	
ADJ	прым.	@Бременная	
ADJ	прым.	@Бренный	
ADJ	прым.	@Бридкий, брыдкий, брыткий	
ADJ	прым.	@Бридливый, брыдливый	
ADJ	прым.	@Броварное	
ADJ	прым.	@Бродный	
ADJ	прым.	@Бронный	
ADJ	прым.	@Брудносерый	
ADJ	прым.	@Брудносивый	
ADJ	прым.	@Брудский	
ADJ	прым.	@Бруковое	
ADJ	прым.	@Бруковый	
ADJ	прым.	@Брунатный, борнатный, бурнатный	
ADJ	прым.	@Брусовый	
ADJ	прым.	@Брусяный	
ADJ	прым.	@Бруховый	
ADJ	прым.	@Бручатый, брушщатый	
ADJ	прым.	@Брушковый, брюшковый	
ADJ	прым.	@Брыдливший	
ADJ	прым.	@Брыдшый	
ADJ	прым.	@Брытанский	
ADJ	прым.	@Брюшинный	
ADJ	прым.	@Бубенистый	
ADJ	прым.	@Буденный, будденый	
ADJ	прым.	@Будницкий	
ADJ	прым.	@Будное	
ADJ	прым.	@Будный	
ADJ	прым.	@Будовнейший	
ADJ	прым.	@Будовничий	
ADJ	прым.	@Будовный	
ADJ	прым.	@Буесловный	
ADJ	прым.	@Буйнейший	
ADJ	прым.	@Буйный	
ADJ	прым.	@Буковый	
ADJ	прым.	@Буланый	
ADJ	прым.	@Булгарский	
ADJ	прым.	@Булгачный, булгалный	
ADJ	прым.	@Бумажный	
ADJ	прым.	@Бунтовничий	
ADJ	прым.	@Бураковый	
ADJ	прым.	@Буратиковый	
ADJ	прым.	@Бурациновый	
ADJ	прым.	@Бургундыйский	
ADJ	прым.	@Бурливый	
ADJ	прым.	@Бурмистровский	
ADJ	прым.	@Бурмистровъ	
ADJ	прым.	@Бурнатый	
ADJ	прым.	@Бурный	
ADJ	прым.	@Бурский	
ADJ	прым.	@Бурштыновый	
ADJ	прым.	@Бурый, бурий	
ADJ	прым.	@Бусиновый	
ADJ	прым.	@Бусурманский	
ADJ	прым.	@Бутный	
ADJ	прым.	@Бучный	
ADJ	прым.	@Бывший II	
ADJ	прым.	@Бывшое	
ADJ	прым.	@Бывый II	
ADJ	прым.	@Быдкгоский	
ADJ	прым.	@Быдливый	
ADJ	прым.	@Быдлячий, быдлячый	
ADJ	прым.	@Быковый	
ADJ	прым.	@Былый	
ADJ	прым.	@Быстрейший	
ADJ	прым.	@Быстроумный	
ADJ	прым.	@Быстрший	
ADJ	прым.	@Быстрый, быстрий	
ADJ	прым.	@Бытейский	
ADJ	прым.	@Бытный	
ADJ	прым.	@Бычиный	
ADJ	прым.	@Бялокчовитый	
ADJ	прым.	@Вавилонский	
ADJ	прым.	@Ваговый	
ADJ	прым.	@Важнейший, важнейшый	
ADJ	прым.	@Важницкий	
ADJ	прым.	@Важное	
ADJ	прым.	@Важный	
ADJ	прым.	@Важочъе	
ADJ	прым.	@Важчое, важчее, вазчое	
ADJ	прым.	@Валечнейший	
ADJ	прым.	@Валечный	
ADJ	прым.	@Валовый	
ADJ	прым.	@Валтеровский, вальтеровский	
ADJ	прым.	@Валцышное	
ADJ	прым.	@Вальный, валный I	
ADJ	прым.	@Вальный, валный II	
ADJ	прым.	@Вандальский, вандалский	
ADJ	прым.	@Вапельный	
ADJ	прым.	@Вапенный	
ADJ	прым.	@Вапнистый	
ADJ	прым.	@Варажский, варазский, варяжский	
ADJ	прым.	@Варварский	
ADJ	прым.	@Варейный	
ADJ	прым.	@Варивный, варывный	
ADJ	прым.	@Варистый	
ADJ	прым.	@Варное	
ADJ	прым.	@Варовнейший	
ADJ	прым.	@Варовный	
ADJ	прым.	@Варовое	
ADJ	прым.	@Вартый	
ADJ	прым.	@Варцабный	
ADJ	прым.	@Варшавский	
ADJ	прым.	@Варячий	
ADJ	прым.	@Василисковъ	
ADJ	прым.	@Васнивый	
ADJ	прым.	@Вгайное	
ADJ	прым.	@Вдатный, удатный	
ADJ	прым.	@Вдовий, удовий	
ADJ	прым.	@Вдовинъ, удовинъ	
ADJ	прым.	@Вдовический	
ADJ	прым.	@Вдовичий	
ADJ	прым.	@Вдовичинъ	
ADJ	прым.	@Вдовский	
ADJ	прым.	@Вдовчий	
ADJ	прым.	@Вдовый	
ADJ	прым.	@Вдячнейший, удячнейший	
ADJ	прым.	@Вдячновонный	
ADJ	прым.	@Вдячный, удячный	
ADJ	прым.	@Веверчаный	
ADJ	прым.	@Ведлый	
ADJ	прым.	@Ведомший	
ADJ	прым.	@Ведомый	
ADJ	прым.	@Ведровый	
ADJ	прым.	@Вежливый	
ADJ	прым.	@Вежний	
ADJ	прым.	@Везовый	
ADJ	прым.	@Вейный	
ADJ	прым.	@Вейский	
ADJ	прым.	@Вексаторийный	
ADJ	прым.	@Векуистый	
ADJ	прым.	@Велблюдовый, велбудовый, вельблюдовый	
ADJ	прым.	@Велблюжий, велблужий, вельбужий	
ADJ	прым.	@Велдомый	
ADJ	прым.	@Велебный	
ADJ	прым.	@Велелепный	
ADJ	прым.	@Велемилостивый	
ADJ	прым.	@Велемовный	
ADJ	прым.	@Велемогуций	
ADJ	прым.	@Велеможный	
ADJ	прым.	@Велемоцный	
ADJ	прым.	@Велемощный	
ADJ	прым.	@Велеречивый	
ADJ	прым.	@Велерибий	
ADJ	прым.	@Велий	
ADJ	прым.	@Великий	
ADJ	прым.	@Великоважный	
ADJ	прым.	@Великогласный	
ADJ	прым.	@Великоденный	
ADJ	прым.	@Великодный	
ADJ	прым.	@Великозацный	
ADJ	прым.	@Великозначный	
ADJ	прым.	@Великозычливый	
ADJ	прым.	@Великоласкавый	
ADJ	прым.	@Великолепный	
ADJ	прым.	@Великомилосердный	
ADJ	прым.	@Великомилостивый	
ADJ	прым.	@Великомилый	
ADJ	прым.	@Великомовячий	
ADJ	прым.	@Великоможный	
ADJ	прым.	@Великомысленый	
ADJ	прым.	@Великомыслный	
ADJ	прым.	@Великонабожный	
ADJ	прым.	@Великоноцный	
ADJ	прым.	@Великопотребный	
ADJ	прым.	@Великоразумный	
ADJ	прым.	@Великославный	
ADJ	прым.	@Великосличный	
ADJ	прым.	@Великоугольный	
ADJ	прым.	@Велиоракий	
ADJ	прым.	@Величавый	
ADJ	прым.	@Величайший	
ADJ	прым.	@Величный	
ADJ	прым.	@Велкий, велький	
ADJ	прым.	@Велконоцный, вельконоцный	
ADJ	прым.	@Велконочный	
ADJ	прым.	@Велняный	
ADJ	прым.	@Вельможнейший	
ADJ	прым.	@Вельможный, велможный	
ADJ	прым.	@Венацкий	
ADJ	прым.	@Венгерский, векгерский, венкгерский	
ADJ	прым.	@Венгловый	
ADJ	прым.	@Вендлый	
ADJ	прым.	@Вендровный, вандровный, ведровный	
ADJ	прым.	@Венедицкий	
ADJ	прым.	@Венетийский	
ADJ	прым.	@Венецианский	
ADJ	прым.	@Венецийский	
ADJ	прым.	@Венецкий	
ADJ	прым.	@Венкший, векший	
ADJ	прым.	@Веновный	
ADJ	прым.	@Вентший	
ADJ	прым.	@Венцейший	
ADJ	прым.	@Венценосный	
ADJ	прым.	@Венчальный	
ADJ	прым.	@Венчельный	
ADJ	прым.	@Вепровый, вепревый	
ADJ	прым.	@Вербевый	
ADJ	прым.	@Верблюдовъ	
ADJ	прым.	@Верблюжий	
ADJ	прым.	@Вербный	
ADJ	прым.	@Веременный	
ADJ	прым.	@Верещий	
ADJ	прым.	@Верификацийный	
ADJ	прым.	@Вернейший	
ADJ	прым.	@Верный	
ADJ	прым.	@Вероломный	
ADJ	прым.	@Версеописаный	
ADJ	прым.	@Верткий	
ADJ	прым.	@Верутный, вирутный	
ADJ	прым.	@Верхменованый	
ADJ	прым.	@Верхний	
ADJ	прым.	@Верховатый	
ADJ	прым.	@Верховный	
ADJ	прым.	@Верховщинный	
ADJ	прым.	@Верховый	
ADJ	прым.	@Верхоменованый	
ADJ	прым.	@Верхописаный	
ADJ	прым.	@Верхпомененый	
ADJ	прым.	@Верхумененый	
ADJ	прым.	@Верхуменованый	
ADJ	прым.	@Верхуменовитый	
ADJ	прым.	@Верхуменяный	
ADJ	прым.	@Верхуозначоный	
ADJ	прым.	@Верхуописаный	
ADJ	прым.	@Верхуписаный	
ADJ	прым.	@Верхупомененый	
ADJ	прым.	@Верющий	
ADJ	прым.	@Веселный	
ADJ	прым.	@Веселший	
ADJ	прым.	@Веселый, весолый, весэлый, весялый, вэсолый	
ADJ	прым.	@Весенный	
ADJ	прым.	@Весчий	
ADJ	прым.	@Весчое	
ADJ	прым.	@Ветреный, ветрений, ветрный, ветрний	
ADJ	прым.	@Ветроимный	
ADJ	прым.	@Ветротленый	
ADJ	прым.	@Ветхий, веткий, ветхый	
ADJ	прым.	@Ветшаный, ветчаный	
ADJ	прым.	@Вечерний, вечерный, вечорний	
ADJ	прым.	@Вечистый, вечыстый	
ADJ	прым.	@Вечниковъ	
ADJ	прым.	@Вечнославный	
ADJ	прым.	@Вечнохмурный	
ADJ	прым.	@Вечный	
ADJ	прым.	@Вечыстопродажный	
